ticker,symbol,tframe,expiry,datetime,time,open,high,low,close,tick_volume,spread,real_volume
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 06:00:00,1632290400,2185.6,2193.2,2185.6,2191.0,10,7,12
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 09:00:00,1632301200,2195.5,2195.8,2190.8,2190.8,5,5,5
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 12:00:00,1632312000,2194.0,2207.0,2189.8,2207.0,36,1,41
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 15:00:00,1632322800,2207.0,2217.1,2207.0,2210.2,18,1,23
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 18:00:00,1632333600,2220.0,2227.0,2210.1,2210.1,23,1,26
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-22 21:00:00,1632344400,2216.0,2216.0,2215.2,2215.2,2,2,2
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 00:00:00,1632355200,2222.2,2222.2,2220.0,2220.0,3,2,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 03:00:00,1632366000,2222.0,2223.1,2220.0,2223.1,7,1,7
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 06:00:00,1632376800,2225.9,2235.5,2225.9,2234.3,19,2,19
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 09:00:00,1632387600,2237.4,2242.0,2230.0,2231.3,17,1,23
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 12:00:00,1632398400,2230.1,2239.0,2219.0,2236.1,23,1,25
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 15:00:00,1632409200,2239.1,2258.5,2238.8,2257.0,32,1,34
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 18:00:00,1632420000,2255.9,2257.0,2251.0,2254.3,10,3,10
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-23 21:00:00,1632430800,2253.4,2255.3,2253.4,2254.0,3,13,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 00:00:00,1632441600,2255.4,2258.0,2249.7,2249.7,5,20,7
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 03:00:00,1632452400,2252.4,2252.4,2252.4,2252.4,1,32,1
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 06:00:00,1632463200,2248.0,2248.0,2239.2,2239.2,3,18,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 09:00:00,1632474000,2242.2,2242.2,2239.3,2239.3,2,1,2
